Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Thực tế]
428.11,25.91,21.9
428.16,32.63,32.3
428.1,32.1,32.0
428.22,31.92,31.4
428.13,36.17,40.7
428.01,35.9,36.8
428.22,22.61,16.6
428.17,10.46,14.5
428.17,8.96,11.3
428.13,29.17,32.8
428.14,36.58,29.9
428.21,35.7,30.9
428.37,31.97,25.8
428.45,33.34,33.1
428.51,29.63,24.2
428.64,32.35,27.6
428.7,35.48,32.0
428.67,33.84,39.4
428.64,36.75,37.7
428.65,36.17,41.2
428.47,34.63,42.1
428.33,29.9,33.6
428.38,35.43,33.2
428.37,35.46,35.8
428.35,34.53,37.2
428.67,48.54,31.8
428.94,45.84,43.8
428.96,49.5,48.4
428.94,44.79,40.5
428.94,49.44,54.3
428.88,41.43,39.0
428.91,36.34,32.0
428.87,35.5,28.6
428.9,32.95,29.9
428.55,14.43,31.6
428.15,7.42,9.4
428.05,13.51,15.3
428.06,16.65,14.1
427.97,21.14,23.6
428.21,31.57,22.7
428.29,20.97,11.2
428.24,25.62,27.5
428.05,19.41,27.6
428.0,32.91,28.2
427.97,27.52,28.1
427.83,24.73,24.0
428.02,28.88,25.3
428.07,33.39,28.9
428.03,28.73,34.1
427.98,29.61,26.2
428.15,36.58,23.7
428.21,26.97,31.3
428.09,18.09,22.6
428.04,22.04,19.0
428.15,33.93,25.1
428.18,31.92,31.4
428.11,24.99,28.8
428.21,32.36,20.0
428.32,36.24,29.8
428.37,33.0,34.1
428.33,30.59,33.3
428.27,36.3,31.2
428.32,28.94,30.1
428.37,22.29,21.4
428.33,37.6,30.7
428.42,37.46,33.4
428.39,31.58,36.1
428.26,33.98,35.6
428.22,33.24,33.8
428.26,36.12,28.2
428.34,27.75,27.3
428.29,36.03,35.2
428.12,23.02,30.4
427.94,18.75,17.5
427.97,19.11,18.7
427.94,21.93,16.5
428.07,33.76,29.2
428.22,27.09,22.5
428.46,36.64,24.4
428.51,43.31,44.7
428.7,33.87,31.1
428.84,25.02,16.1
428.88,21.47,22.6
428.77,17.26,24.2
428.7,19.25,20.5
428.62,23.44,22.7
428.58,21.91,25.1
428.65,12.46,5.6
428.64,3.6,4.0
428.6,3.21,4.0
428.54,3.16,4.0
428.47,2.76,4.0
428.43,10.39,9.3
428.42,22.7,26.1
428.33,25.67,28.0
428.36,29.12,22.2
428.36,32.85,28.0
428.54,35.26,34.2
428.5,25.94,29.0
428.47,51.65,44.0
428.88,52.24,41.2
428.89,46.35,43.7
428.96,51.32,43.4
428.96,47.26,43.1
428.96,48.07,38.3
428.94,40.11,32.4
428.95,50.62,49.6
428.96,40.59,36.9
428.96,44.76,41.4
428.96,51.71,50.5
428.98,45.92,33.6
428.97,41.93,37.6
428.97,40.14,34.6
428.96,51.81,49.5
428.97,42.74,41.1
428.97,37.54,37.0
428.98,43.79,37.5
428.98,50.42,41.6
428.98,51.35,43.8
428.91,30.5,28.5
428.66,30.53,30.9
428.55,37.44,32.7
428.47,41.43,36.5
428.63,40.25,38.0
428.63,38.99,37.7
428.56,35.12,36.7
428.44,31.96,33.0
428.39,39.56,36.6
428.33,35.58,37.3
428.25,47.44,37.6
428.81,59.03,42.8
428.96,41.4,37.5
428.96,48.04,39.4
428.98,48.73,41.4
428.98,47.24,40.7
428.97,47.98,46.3
428.97,47.15,43.8
428.97,45.72,40.5
428.96,35.25,41.7
428.97,39.01,37.4
428.98,41.26,35.4
428.97,50.68,41.0
428.97,49.13,42.3
428.97,48.02,43.6
428.96,49.11,48.0
428.98,49.51,41.8
428.97,45.2,40.3
428.98,42.74,36.3
428.99,50.61,40.5
429.0,50.04,43.8
429.0,75.65,68.0
428.99,73.79,67.6
428.99,68.04,63.0
428.99,65.99,62.7
428.99,66.23,63.0
428.99,74.18,73.0
428.85,189.8,169.9
428.97,183.33,164.1
428.98,71.02,73.0
428.99,73.42,73.0
428.99,75.6,73.0
428.99,72.39,73.0
428.99,72.71,73.0
428.98,73.29,73.0
428.98,72.81,73.0
428.98,73.09,73.0
428.98,73.75,73.0
428.98,75.39,73.0
428.98,75.06,73.0
428.98,74.39,73.0
428.99,73.99,73.0
428.99,91.66,90.4
428.92,146.99,160.5
428.74,350.56,348.0
428.89,186.01,162.6
428.98,67.02,67.6
428.98,67.26,72.9
428.98,74.68,73.0
428.98,74.19,73.0
428.98,74.68,73.0
428.99,68.29,65.8
428.99,74.37,73.0
428.99,75.24,73.0
428.99,75.35,73.0
428.99,74.02,73.0
428.99,75.33,73.0
428.99,80.75,78.2
428.99,98.55,98.0
428.99,97.55,98.0
428.99,98.7,98.0
428.99,86.33,86.3
428.99,78.65,78.0
428.99,78.06,78.0
428.99,76.7,78.0
428.99,78.43,78.0
428.99,78.03,78.0
428.99,79.3,78.0
428.99,78.87,78.0
428.99,78.27,77.5
428.99,78.42,78.0
428.99,77.23,78.0
428.99,78.46,78.0
428.99,78.51,78.0
428.98,77.41,78.0
428.91,57.42,61.7
428.73,30.8,38.5
428.56,28.85,31.7
428.4,28.82,37.3
428.22,31.23,37.6
428.05,37.65,42.9
427.99,36.91,36.3
428.09,25.19,28.8
428.06,35.55,28.4
428.36,35.47,24.8
428.51,20.33,20.0
428.59,12.17,14.1
428.64,27.88,17.5
428.88,19.68,19.6
428.62,17.91,34.5
428.17,20.98,33.4
428.03,16.61,19.6
428.02,14.02,18.8
428.05,16.95,12.7
428.67,51.79,30.5
428.82,32.43,34.8
428.79,36.3,38.8
428.93,35.89,30.9
428.73,40.55,45.6
428.91,71.77,51.5
428.99,93.32,93.0
428.99,93.0,93.0
428.98,76.87,77.4
428.98,69.04,68.0
428.99,69.18,68.0
428.92,50.8,58.0
428.87,24.65,21.6
428.84,23.13,24.4
428.91,25.38,23.2
428.97,20.99,14.4
428.84,16.24,25.0
428.39,15.45,24.7
428.4,13.09,9.3
428.58,9.36,4.0
428.61,4.68,4.0
428.67,18.35,4.0
428.84,27.61,20.7
428.89,28.13,24.4
428.94,29.64,23.9
428.96,28.78,22.4
428.96,35.42,39.5
428.89,31.43,41.0
428.86,32.09,39.0
428.81,28.87,43.2
428.8,32.87,40.7
428.83,35.66,44.2
428.77,34.4,54.3
428.71,39.58,52.9
428.88,40.11,48.3
428.8,34.17,51.8
428.43,18.49,30.5
428.36,33.45,24.5
428.46,39.72,37.7
428.5,31.75,31.2
428.44,30.27,32.9
428.42,32.42,33.2
428.43,30.12,33.7
428.4,27.11,29.0
428.4,29.05,31.8
428.33,26.42,30.1
428.3,27.72,32.1
428.24,26.76,29.2
428.37,19.27,14.4
428.35,11.09,12.8
428.29,10.83,9.4
428.29,6.31,7.5
428.32,7.44,6.3
428.38,8.67,6.3
428.41,7.69,10.9
428.38,12.59,17.0
428.46,21.05,18.1
428.43,14.39,16.0
428.43,21.83,24.2
428.52,27.08,21.0
428.48,30.37,38.2
428.37,33.12,35.1
428.36,33.61,25.0
