Mực nước hồ (m),Lưu lượng đến hồ (m³/s),Tổng lưu lượng xả (m³/s)[Thực tế]
428.51,18.08,19.2
428.61,23.09,19.5
428.76,12.7,5.2
428.74,12.94,19.0
428.7,18.37,18.7
428.7,19.06,19.1
428.83,12.7,5.2
428.82,16.86,21.5
428.8,23.14,23.5
428.68,22.68,25.2
428.78,8.75,5.2
428.7,7.94,11.2
428.68,7.05,6.3
428.65,0.86,5.2
428.59,21.98,5.2
428.61,22.71,21.6
428.78,28.32,21.9
428.8,23.69,25.5
428.79,24.81,26.3
428.77,25.53,22.3
428.83,21.93,20.9
428.96,27.88,21.8
428.92,26.51,34.1
428.78,31.23,36.6
428.69,32.07,33.5
428.65,32.62,31.6
428.62,28.06,30.2
428.58,28.3,27.9
428.68,14.7,11.8
428.76,17.1,6.3
428.83,26.48,37.6
428.63,29.22,36.8
428.6,40.33,32.4
428.75,32.66,32.0
428.8,15.25,13.8
428.7,27.87,33.6
428.78,41.41,36.0
428.79,37.45,37.5
428.7,31.64,37.0
428.67,35.32,35.3
428.71,36.57,36.6
428.66,9.11,5.2
428.65,27.61,36.2
428.51,40.8,38.7
428.63,38.18,37.8
428.59,40.14,38.7
428.54,41.11,43.3
428.6,37.17,38.3
428.66,19.24,12.1
428.57,24.24,35.4
428.59,44.13,35.9
428.66,39.23,36.7
428.91,42.83,38.2
428.69,49.72,45.1
428.8,28.68,39.8
428.74,44.86,30.9
428.98,119.17,121.3
428.72,36.51,54.1
428.66,42.93,33.2
428.57,35.84,46.6
428.51,44.1,40.5
428.66,47.12,42.1
428.76,34.53,32.0
428.75,32.01,33.8
428.72,30.86,33.0
428.68,35.17,35.9
428.65,31.75,39.3
428.51,49.3,43.2
428.65,38.07,39.5
428.61,26.12,22.5
428.62,35.35,39.3
428.54,37.02,39.5
428.61,43.91,39.6
428.64,35.36,39.7
428.64,46.99,38.7
428.77,33.19,37.9
428.6,26.69,24.9
428.79,43.13,37.0
428.75,31.07,37.9
428.63,38.59,37.5
428.6,41.12,41.8
428.69,44.33,42.2
428.68,38.5,39.4
428.73,27.08,23.9
428.69,31.3,37.4
428.62,39.87,37.0
428.68,38.24,37.2
428.52,46.98,52.0
428.65,63.48,52.0
428.83,32.31,35.9
428.77,25.62,28.1
428.62,32.02,38.8
428.61,46.58,39.4
428.68,35.12,41.2
428.74,49.08,40.5
428.76,43.09,42.7
428.81,34.4,34.8
428.75,32.22,34.0
428.66,39.44,41.2
428.74,37.72,39.5
428.66,52.8,43.5
428.91,37.09,40.3
428.66,31.52,40.9
428.71,43.85,38.5
428.84,29.69,18.6
428.72,25.1,39.5
428.73,47.05,41.7
428.72,40.5,41.2
428.62,39.46,41.3
428.75,40.73,38.2
428.72,33.34,36.6
428.67,28.68,32.3
428.56,37.7,37.7
428.53,34.8,38.0
428.5,44.47,39.8
428.54,39.76,39.8
428.51,55.59,52.0
428.69,50.92,52.0
428.65,34.97,35.0
428.78,40.31,36.4
428.6,50.54,56.8
428.59,33.12,34.2
428.87,35.44,19.7
428.71,26.53,39.5
428.67,34.9,34.9
428.79,30.13,19.7
428.87,36.55,41.9
428.77,32.79,34.6
428.74,33.95,37.2
428.64,34.46,36.6
428.64,36.1,35.4
428.74,32.7,30.6
428.67,34.86,30.2
428.79,36.23,37.3
428.84,33.17,33.2
428.83,29.72,20.8
428.9,16.61,20.2
428.75,23.98,29.0
428.61,22.79,27.5
428.85,30.16,18.3
428.85,28.47,36.0
428.88,36.84,40.1
428.45,40.89,50.2
428.42,35.92,33.8
428.52,39.28,35.3
428.5,29.85,32.7
428.79,29.86,19.1
428.57,26.75,38.2
428.59,38.7,32.6
428.76,41.17,32.2
428.78,29.64,34.7
428.64,34.02,41.9
428.65,24.02,19.4
428.49,19.16,27.8
428.55,40.62,37.0
428.53,38.78,39.5
428.5,33.81,35.6
428.64,36.23,22.6
428.64,23.12,35.3
428.45,31.62,33.8
428.5,38.63,34.0
428.61,35.24,36.3
428.59,39.17,38.5
428.61,36.52,36.9
428.61,37.76,37.4
428.53,36.11,38.3
428.43,36.65,40.2
428.38,25.21,27.4
428.32,28.67,32.3
428.18,29.5,31.7
428.26,35.55,29.8
428.42,35.56,31.6
428.55,39.1,33.7
428.65,38.34,38.0
428.73,11.57,4.8
428.62,24.76,33.0
428.56,20.03,22.2
428.38,18.04,25.9
428.3,34.63,30.3
428.52,39.02,35.4
428.61,38.24,34.7
428.82,27.52,16.4
428.71,19.33,29.7
428.51,20.79,20.8
428.72,11.18,4.0
428.63,12.16,27.2
428.4,6.87,4.0
428.44,3.28,4.0
428.38,1.13,4.0
428.31,2.21,4.0
428.26,0.77,4.0
428.17,9.96,6.7
428.21,15.36,18.6
428.27,6.15,4.0
428.2,0.05,4.0
428.09,0.05,4.0
428.0,1.21,4.8
427.88,1.66,4.7
427.84,4.15,4.8
427.81,4.07,4.4
427.8,8.89,8.0
428.0,8.71,4.8
427.9,0.39,4.0
427.76,4.87,8.2
427.73,7.16,7.8
427.92,21.73,7.3
428.26,11.33,7.7
428.25,6.81,8.3
428.24,2.92,4.0
428.15,0.41,4.0
427.94,8.49,12.9
428.01,12.95,9.6
428.62,72.94,42.1
428.66,32.27,52.0
428.25,13.31,23.4
428.55,196.7,166.2
428.92,181.63,182.3
428.9,124.24,126.8
428.88,65.2,66.3
428.66,40.76,50.5
428.7,57.12,52.8
428.67,140.08,140.1
428.77,105.0,100.0
428.86,93.02,88.0
428.95,70.08,70.1
428.96,77.61,76.9
428.96,81.73,82.1
428.93,88.69,90.8
428.87,75.1,77.3
428.79,50.27,53.5
428.74,131.68,133.8
428.86,101.36,91.3
428.93,51.6,54.1
428.87,49.49,52.0
428.83,120.33,123.9
428.77,132.75,129.9
428.78,93.44,94.9
428.79,87.98,86.5
428.8,50.49,53.0
428.81,76.65,73.4
428.82,73.59,74.7
428.83,74.3,70.7
428.84,78.24,83.6
428.66,171.58,180.2
428.71,737.99,729.7
428.74,579.77,579.8
428.74,321.75,321.8
428.74,260.92,260.9
428.74,217.17,217.2
428.74,201.1,199.7
428.83,167.65,165.5
428.86,162.77,161.3
428.91,99.44,98.0
428.93,94.82,94.5
428.94,84.64,84.3
428.95,58.44,58.1
428.97,51.28,52.0
428.92,50.56,52.0
428.9,52.66,51.2
428.93,52.0,52.0
428.83,41.95,52.0
428.72,38.14,39.9
428.71,36.34,34.9
428.72,33.54,33.9
428.76,15.84,11.5
428.81,28.1,26.7
428.82,40.14,42.7
428.59,47.34,52.0
428.62,54.51,52.0
428.66,48.77,52.0
428.63,35.49,38.0
428.7,30.69,21.4
428.86,16.97,13.4
428.87,31.13,31.5
428.91,37.3,40.2
428.65,45.19,52.4
428.53,53.62,54.3
428.5,52.9,54.3
428.55,40.15,40.5
428.53,26.51,27.6
428.49,32.13,33.6
428.45,35.31,38.2
428.47,38.04,35.2
428.47,31.19,30.8
428.53,32.41,30.3
428.58,26.26,22.3
428.71,11.0,6.3
428.68,20.0,23.6
428.71,21.06,19.3
428.66,15.92,18.8
428.61,21.28,22.0
428.54,26.5,34.4
428.42,35.1,35.5
428.47,23.41,14.8
428.62,32.51,37.5
428.33,33.0,42.3
428.29,32.34,25.5
428.51,31.34,24.5
428.63,31.18,35.1
428.56,30.65,26.0
428.69,8.49,6.3
428.6,19.46,18.0
428.76,27.04,26.3
428.67,26.58,33.4
428.61,32.44,27.4
428.74,22.66,17.6
428.73,22.71,29.5
428.62,6.84,9.4
428.44,20.95,30.6
428.45,30.03,20.7
428.62,26.38,24.2
428.75,26.26,19.1
428.86,19.05,15.5
428.86,4.94,8.2
428.75,1.22,5.2
428.59,12.37,16.0
428.65,19.47,15.5
428.74,20.64,21.4
428.68,5.87,10.9
428.46,2.79,10.7
428.33,4.81,5.2
428.32,4.81,5.2
423.29,4.09,5.2
428.28,9.47,5.2
428.4,17.0,15.9
428.41,24.21,27.8
428.17,27.95,39.8
427.99,28.26,29.2
427.97,29.47,29.2
428.0,28.68,26.7
428.06,13.38,15.1
427.8,6.96,14.5
427.54,15.03,25.9
427.22,6.1,16.4
425.66,4.43,60.6
422.49,0.0,37.9
421.39,0.69,6.3
420.92,1.98,5.2
420.66,4.13,5.2
420.69,5.09,5.2
420.68,7.39,5.2
421.42,11.74,6.3
421.31,1.37,5.2
420.81,2.07,5.2
421.02,11.13,5.2
421.68,6.28,5.2
421.34,1.19,5.2
420.93,5.35,5.2
421.52,8.5,5.2
421.22,0.04,5.2
420.96,17.33,5.2
424.01,53.98,5.2
426.13,44.42,6.3
427.67,48.01,6.6
428.43,17.27,13.0
428.26,30.55,40.2
428.31,15.57,5.2
428.38,14.21,16.0
428.35,17.33,17.0
428.26,9.16,16.3
428.16,15.21,15.9
428.02,14.06,22.5
427.93,10.5,10.2
427.74,4.01,11.8
427.62,21.15,22.1
427.78,28.12,17.4
427.93,26.28,21.2
427.98,28.95,27.6
428.04,29.1,33.1
427.99,28.93,21.3
428.29,29.21,19.2
428.4,28.38,34.1
428.17,30.63,38.2
428.15,29.44,23.7
428.24,29.57,31.7
427.94,31.86,38.9
428.0,29.5,26.7
428.14,22.06,16.0
428.16,28.18,32.9
428.14,30.25,26.3
